code_geo,annee,taux_faible_diplome
59450,2022,49.5
59451,2016,56.1
59451,2022,55.66
59452,2016,55.22
59452,2022,55.77
59453,2016,56.58
59453,2022,54.57
59454,2016,56.77
59454,2022,52.06
59455,2016,51.49
59455,2022,54.43
59456,2016,52.14
59456,2022,52.05
59457,2016,60.97
59457,2022,62.14
59458,2016,64.62
59458,2022,64.96
59459,2016,52.73
59459,2022,51.85
59461,2016,51.57
59461,2022,48.65
59462,2016,62.14
59462,2022,64.81
59463,2016,53.08
59463,2022,52.17
59464,2016,56.26
59464,2022,55.79
59465,2016,53.57
59465,2022,53.27
59466,2016,63.21
59466,2022,64.65
59467,2016,50.59
59467,2022,48.63
59468,2016,55.48
59468,2022,61.94
59469,2016,57.81
59469,2022,64.02
59470,2016,63.67
59470,2022,67.12
59471,2016,56.97
59471,2022,59.25
59472,2016,56.94
59472,2022,53.36
59473,2016,60.19
59473,2022,58.42
59474,2016,58.53
59474,2022,53.8
59475,2016,52.65
59475,2022,50.59
59476,2016,53.87
59476,2022,55.35
59477,2016,55.46
59477,2022,54.53
59478,2016,51.73
59478,2022,54.96
59479,2016,49.49
59479,2022,49.17
59480,2016,56.33
59480,2022,59.73
59481,2016,62.78
59481,2022,59.66
59482,2016,61.77
59482,2022,63.21
59483,2016,50.94
59483,2022,51.96
59484,2016,52.36
59484,2022,50.76
59485,2016,54.71
59485,2022,51.47
59486,2016,54.32
59486,2022,52.25
59487,2016,64.15
59487,2022,66.29
59488,2016,55.51
59488,2022,54.24
59489,2016,55.14
59489,2022,54.15
59490,2016,44.76
59490,2022,50.66
59491,2016,54.16
59491,2022,51.64
59492,2016,47.51
59492,2022,47.21
59493,2016,43.93
59493,2022,48.52
59494,2016,50.77
59494,2022,55.65
59495,2016,52.45
59495,2022,48.22
59496,2016,57.15
59496,2022,53.96
59497,2016,57.98
59497,2022,53.4
59498,2016,52.22
59498,2022,46.03
59499,2016,53.39
59499,2022,53.01
59500,2016,56.84
59500,2022,57.66
59501,2016,58.47
59501,2022,53.96
59502,2016,51.04
59502,2022,49.18
59503,2016,57.04
59503,2022,61.64
59504,2016,50.36
59504,2022,50.12
59505,2016,59.4
59505,2022,56.59
59506,2016,60.24
59506,2022,57.62
59507,2016,63.72
59507,2022,63.77
59508,2016,59.92
59508,2022,60.47
