code_geo,libelle_commune,revenu_median,annee
59435,Nomain,24834,2016
59436,Noordpeene,18380,2016
59437,Noyelles-lès-Seclin,25430,2016
59438,Noyelles-sur-Escaut,20748,2016
59439,Noyelles-sur-Sambre,20590,2016
59440,Noyelles-sur-Selle,20015,2016
59441,Obies,22323,2016
59442,Obrechies,23234,2016
59443,Ochtezeele,22752,2016
59444,Odomez,19360,2016
59445,Ohain,18479,2016
59446,Oisy,24791,2016
59447,Onnaing,16910,2016
59448,Oost-Cappel,18992,2016
59449,Orchies,20510,2016
59450,Ors,19634,2016
59451,Orsinval,24737,2016
59452,Ostricourt,17126,2016
59453,Oudezeele,20660,2016
59454,Oxelaëre,20798,2016
59455,Paillencourt,20767,2016
59456,Pecquencourt,16734,2016
59457,Pérenchies,21236,2016
59458,Péronne-en-Mélantois,28066,2016
59459,Petite-Forêt,19119,2016
59461,Petit-Fayt,20578,2016
59462,Phalempin,24339,2016
59463,Pitgam,21158,2016
59464,Poix-du-Nord,16413,2016
59465,Pommereuil,18253,2016
59466,Pont-à-Marcq,23731,2016
59467,Pont-sur-Sambre,18242,2016
59468,Potelle,24521,2016
59469,Pradelles,23502,2016
59470,Prémesques,25162,2016
59471,Préseau,22941,2016
59472,Preux-au-Bois,18284,2016
59473,Preux-au-Sart,22127,2016
59474,Prisches,17410,2016
59475,Prouvy,19512,2016
59476,Proville,21303,2016
59477,Provin,20488,2016
59478,Quaëdypre,22526,2016
59479,Quarouble,19762,2016
59480,Quérénaing,23759,2016
59481,Le Quesnoy,17500,2016
59482,Quesnoy-sur-Deûle,23323,2016
59483,Quiévelon,21329,2016
59484,Quiévrechain,14945,2016
59485,Quiévy,18615,2016
59486,Râches,19793,2016
59487,Radinghem-en-Weppes,28835,2016
59488,Raillencourt-Sainte-Olle,20519,2016
59489,Raimbeaucourt,21494,2016
59490,Rainsars,20875,2016
59491,Raismes,15916,2016
59492,Ramillies,19593,2016
59493,Ramousies,18066,2016
59494,Raucourt-au-Bois,20920,2016
59495,Recquignies,16768,2016
59496,Rejet-de-Beaulieu,18068,2016
59497,Renescure,20960,2016
59498,Reumont,18083,2016
59499,Rexpoëde,20286,2016
59500,Ribécourt-la-Tour,19832,2016
59501,Rieulay,20079,2016
59502,Rieux-en-Cambrésis,18125,2016
59503,Robersart,21087,2016
59504,Roeulx,17073,2016
59505,Rombies-et-Marchipont,24178,2016
59506,Romeries,21014,2016
59507,Ronchin,20178,2016
59508,Roncq,22928,2016
59509,Roost-Warendin,18962,2016
59511,Rosult,24600,2016
59512,Roubaix,13298,2016
59513,Roucourt,23749,2016
59514,Rousies,19213,2016
59515,Rouvignies,19280,2016
59516,Rubrouck,20951,2016
59517,Les Rues-des-Vignes,21333,2016
59518,Ruesnes,22156,2016
59519,Rumegies,22786,2016
59520,Rumilly-en-Cambrésis,19991,2016
59521,Sailly-lez-Cambrai,20542,2016
59522,Sailly-lez-Lannoy,27867,2016
59523,Sainghin-en-Mélantois,28058,2016
59524,Sainghin-en-Weppes,22481,2016
59525,Sains-du-Nord,17258,2016
59526,Saint-Amand-les-Eaux,18617,2016
59527,Saint-André-lez-Lille,21954,2016
59528,Saint-Aubert,18971,2016
59529,Saint-Aubin,22054,2016
59530,Saint-Aybert,20884,2016
59531,Saint-Benin,18102,2016
59532,Saint-Georges-sur-l'Aa,20825,2016
59533,Saint-Hilaire-lez-Cambrai,19010,2016
59534,Saint-Hilaire-sur-Helpe,19674,2016
59535,Saint-Jans-Cappel,23661,2016
59536,Sainte-Marie-Cappel,23226,2016
59537,Saint-Martin-sur-Écaillon,21849,2016
59538,Saint-Momelin,17249,2016
59539,Saint-Pierre-Brouck,20756,2016
59541,Saint-Python,18251,2016
59542,Saint-Remy-Chaussée,20578,2016
59543,Saint-Remy-du-Nord,19234,2016
59544,Saint-Saulve,20258,2016
59545,Saint-Souplet,17142,2016
59546,Saint-Sylvestre-Cappel,21373,2016
59547,Saint-Vaast-en-Cambrésis,18743,2016
59548,Saint-Waast,21404,2016
59549,Salesches,19656,2016
59550,Salomé,20222,2016
59551,Saméon,26149,2016
59552,Sancourt,21087,2016
59553,Santes,24230,2016
59554,Sars-et-Rosières,25852,2016
59555,Sars-Poteries,16385,2016
59556,Sassegnies,20683,2016
59557,Saultain,21941,2016
59558,Saulzoir,19672,2016
59559,Sebourg,27921,2016
59560,Seclin,20479,2016
59562,Sémeries,20013,2016
59563,Semousies,22551,2016
59564,La Sentinelle,16963,2016
59565,Sepmeries,22651,2016
59566,Sequedin,23206,2016
59567,Séranvillers-Forenville,21865,2016
59568,Sercus,21369,2016
59569,Sin-le-Noble,16698,2016
59570,Socx,26423,2016
59571,Solesmes,17066,2016
59572,Solre-le-Château,18719,2016
59573,Solrinnes,20161,2016
59574,Somain,17000,2016
59575,Sommaing,23706,2016
59576,Spycker,22558,2016
59577,Staple,19853,2016
59578,Steenbecque,20635,2016
59579,Steene,21812,2016
59580,Steenvoorde,20916,2016
59581,Steenwerck,21998,2016
59582,Strazeele,22437,2016
59583,Taisnières-en-Thiérache,19683,2016
59584,Taisnières-sur-Hon,23728,2016
59585,Templemars,24681,2016
59586,Templeuve-en-Pévèle,24117,2016
59587,Terdeghem,22303,2016
59588,Téteghem-Coudekerque-Village,24112,2016
59589,Thiant,19279,2016
59590,Thiennes,18925,2016
59591,Thivencelle,16662,2016
59592,Thumeries,22508,2016
59593,Thun-l'Évêque,21784,2016
59594,Thun-Saint-Amand,20145,2016
59595,Thun-Saint-Martin,22806,2016
59596,Tilloy-lez-Marchiennes,26000,2016
59597,Tilloy-lez-Cambrai,24400,2016
59598,Toufflers,22918,2016
59599,Tourcoing,16548,2016
59600,Tourmignies,27263,2016
59601,Trélon,16825,2016
59602,Tressin,26512,2016
59603,Trith-Saint-Léger,17525,2016
59604,Troisvilles,18412,2016
59605,Uxem,23801,2016
59606,Valenciennes,17978,2016
59607,Vendegies-au-Bois,21231,2016
59608,Vendegies-sur-Écaillon,24422,2016
59609,Vendeville,26184,2016
59610,Verchain-Maugré,21917,2016
59611,Verlinghem,28054,2016
59612,Vertain,21894,2016
59613,Vicq,19486,2016
59614,Viesly,18065,2016
59615,Vieux-Berquin,22756,2016
59616,Vieux-Condé,16507,2016
59617,Vieux-Mesnil,21149,2016
59618,Vieux-Reng,21007,2016
