code_geo,libelle_commune,revenu_median,annee
59469,Pradelles,25120,2021
59470,Prémesques,28490,2021
59471,Préseau,25410,2021
59472,Preux-au-Bois,21360,2021
59473,Preux-au-Sart,29900,2021
59474,Prisches,21060,2021
59475,Prouvy,21050,2021
59476,Proville,23390,2021
59477,Provin,22130,2021
59478,Quaëdypre,25280,2021
59479,Quarouble,21990,2021
59480,Quérénaing,26200,2021
59481,Le Quesnoy,19720,2021
59482,Quesnoy-sur-Deûle,25610,2021
59483,Quiévelon,23170,2021
59484,Quiévrechain,16510,2021
59485,Quiévy,20410,2021
59486,Râches,22130,2021
59487,Radinghem-en-Weppes,31950,2021
59488,Raillencourt-Sainte-Olle,23130,2021
59489,Raimbeaucourt,24050,2021
59490,Rainsars,21660,2021
59491,Raismes,17870,2021
59492,Ramillies,21880,2021
59493,Ramousies,20630,2021
59494,Raucourt-au-Bois,24100,2021
59495,Recquignies,18560,2021
59496,Rejet-de-Beaulieu,21030,2021
59497,Renescure,22800,2021
59498,Reumont,21700,2021
59499,Rexpoëde,22600,2021
59500,Ribécourt-la-Tour,23120,2021
59501,Rieulay,22110,2021
59502,Rieux-en-Cambrésis,20910,2021
59503,Robersart,20520,2021
59504,Rœulx,19560,2021
59505,Rombies-et-Marchipont,26680,2021
59506,Romeries,22370,2021
59507,Ronchin,22130,2021
59508,Roncq,25280,2021
59509,Roost-Warein,20810,2021
59511,Rosult,27600,2021
59512,Roubaix,14580,2021
59513,Roucourt,25060,2021
59514,Rousies,21260,2021
59515,Rouvignies,21580,2021
59516,Rubrouck,22060,2021
59517,Les Rues-des-Vignes,23240,2021
59518,Ruesnes,24680,2021
59519,Rumegies,25290,2021
59520,Rumilly-en-Cambrésis,21830,2021
59521,Sailly-lez-Cambrai,22410,2021
59522,Sailly-lez-Lannoy,29860,2021
59523,Sainghin-en-Mélantois,31510,2021
59524,Sainghin-en-Weppes,24770,2021
59525,Sains-du-Nord,18400,2021
59526,Saint-Ama-les-Eaux,20980,2021
59527,Saint-Aré-lez-Lille,24610,2021
59528,Saint-Aubert,20900,2021
59529,Saint-Aubin,25130,2021
59530,Saint-Aybert,25010,2021
59531,Saint-Benin,19880,2021
59532,Saint-Georges-sur-l'Aa,21020,2021
59533,Saint-Hilaire-lez-Cambrai,20800,2021
59534,Saint-Hilaire-sur-Helpe,21320,2021
59535,Saint-Jans-Cappel,25890,2021
59536,Sainte-Marie-Cappel,26510,2021
59537,Saint-Martin-sur-Écaillon,25300,2021
59538,Saint-Momelin,20710,2021
59539,Saint-Pierre-Brouck,23320,2021
59541,Saint-Python,20110,2021
59542,Saint-Remy-Chaussée,21480,2021
59543,Saint-Remy-du-Nord,21840,2021
59544,Saint-Saulve,21740,2021
59545,Saint-Souplet,18880,2021
59546,Saint-Sylvestre-Cappel,23930,2021
59547,Saint-Vaast-en-Cambrésis,20920,2021
59548,Saint-Waast,24400,2021
59549,Salesches,21870,2021
59550,Salomé,22610,2021
59551,Saméon,28830,2021
59552,Sancourt,22180,2021
59553,Santes,26460,2021
59554,Sars-et-Rosières,28720,2021
59555,Sars-Poteries,18120,2021
59556,Sassegnies,21790,2021
59557,Saultain,24400,2021
59558,Saulzoir,23040,2021
59559,Sebourg,31010,2021
59560,Seclin,22460,2021
59562,Sémeries,22490,2021
59563,Semousies,26140,2021
59564,La Sentinelle,18690,2021
59565,Sepmeries,26040,2021
59566,Sequedin,25180,2021
59567,Séranvillers-Forenville,24460,2021
59568,Sercus,25460,2021
59569,Sin-le-Noble,18540,2021
59570,Socx,31160,2021
59571,Solesmes,19100,2021
59572,Solre-le-Château,20420,2021
59573,Solrinnes,24580,2021
59574,Somain,19150,2021
59575,Sommaing,26280,2021
59576,Spycker,24810,2021
59577,Staple,22170,2021
59578,Steenbecque,22630,2021
59579,Steene,24650,2021
59580,Steenvoorde,23050,2021
59581,Steenwerck,24620,2021
59582,Strazeele,23860,2021
59583,Taisnières-en-Thiérache,22420,2021
59584,Taisnières-sur-Hon,26230,2021
59585,Templemars,26250,2021
59586,Templeuve-en-Pévèle,26780,2021
59587,Terdeghem,25850,2021
59588,Téteghem-Coudekerque-Village,26490,2021
59589,Thiant,21290,2021
59590,Thiennes,21580,2021
59591,Thivencelle,18610,2021
59592,Thumeries,25030,2021
59593,Thun-l'Évêque,25550,2021
59594,Thun-Saint-Ama,22610,2021
59595,Thun-Saint-Martin,25540,2021
59596,Tilloy-lez-Marchiennes,29240,2021
59597,Tilloy-lez-Cambrai,26680,2021
59598,Toufflers,25270,2021
59599,Tourcoing,18300,2021
59600,Tourmignies,29900,2021
59601,Trélon,19420,2021
59602,Tressin,29900,2021
59603,Trith-Saint-Léger,19840,2021
59604,Troisvilles,20620,2021
59605,Uxem,26540,2021
59606,Valenciennes,20250,2021
59607,Veegies-au-Bois,23330,2021
59608,Veegies-sur-Écaillon,26860,2021
59609,Veeville,29430,2021
59610,Verchain-Maugré,25140,2021
59611,Verlinghem,30870,2021
59612,Vertain,26580,2021
59613,Vicq,21250,2021
59614,Viesly,20680,2021
59615,Vieux-Berquin,24590,2021
59616,Vieux-Coé,18350,2021
59617,Vieux-Mesnil,22490,2021
59618,Vieux-Reng,21470,2021
59619,Villereau,25370,2021
59620,Villers-au-Tertre,25120,2021
59622,Villers-en-Cauchies,22070,2021
59623,Villers-Guislain,20710,2021
59624,Villers-Outréaux,19050,2021
59625,Villers-Plouich,24350,2021
59626,Villers-Pol,26780,2021
59627,Villers-Sire-Nicole,22460,2021
59628,Volckerinckhove,23960,2021
59629,Vred,24320,2021
59630,Wahagnies,23630,2021
59631,Walincourt-Selvigny,19850,2021
59632,Wallers,19980,2021
59633,Wallers-en-Fagne,23110,2021
59634,Wallon-Cappel,25130,2021
59635,Wambaix,25370,2021
59636,Wambrechies,26900,2021
59637,Waignies-Hamage,25680,2021
59638,Wannehain,26830,2021
59639,Wargnies-le-Gra,26400,2021
59640,Wargnies-le-Petit,25710,2021
59641,Warhem,24720,2021
59642,Warlaing,26570,2021
59643,Warneton,23690,2021
59645,Wasnes-au-Bac,22960,2021
59646,Wasquehal,25910,2021
59647,Watten,19280,2021
59648,Wattignies,21990,2021
59649,Wattignies-la-Victoire,24550,2021
59650,Wattrelos,19450,2021
59651,Wavrechain-sous-Denain,17520,2021
59652,Wavrechain-sous-Faulx,22760,2021
59653,Wavrin,23980,2021
59654,Waziers,16770,2021
59655,Wemaers-Cappel,25860,2021
59656,Wervicq-Sud,23810,2021
59657,West-Cappel,24010,2021
59658,Wicres,27320,2021
59659,Wignehies,17480,2021
59660,Willems,25680,2021
59661,Willies,17550,2021
59662,Winnezeele,23340,2021
59663,Wormhout,23380,2021
59664,Wulverdinghe,22570,2021
59665,Wylder,22410,2021
59666,Zegerscappel,23390,2021
59667,Zermezeele,23600,2021
59668,Zuydcoote,24280,2021
59669,Zuytpeene,22120,2021
59670,Don,24970,2021
