code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59044,00044,Baisieux,2017,3791,684,3107,3062,18.04,MACRON,FILLON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,25.38,23.12,22.89,15.15,5.55,CENTRE,DROITE,DROITE,GAUCHE,DROITE,25.38,1.7,51.57,21.36,5.56,24511.0,62.82,30.53,145.0,5177,5224,CENTRE,1,MACRON
59045,00045,Baives,2017,115,41,74,74,35.65,LE PEN,FILLON,DUPONT-AIGNAN,MÉLENCHON,MACRON,47.3,14.86,9.46,9.46,8.11,DROITE,DROITE,DROITE,GAUCHE,CENTRE,8.11,4.05,71.62,16.22,15.79,18107.0,58.97,0.0,0.0,163,168,DROITE,0,LE PEN
59046,00046,Bambecque,2017,563,73,490,477,12.97,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,35.43,22.43,16.77,11.32,6.5,DROITE,DROITE,CENTRE,GAUCHE,DROITE,16.77,1.26,64.36,17.61,15.71,19319.0,55.69,0.0,0.0,832,834,DROITE,0,LE PEN
59047,00047,Banteux,2017,266,55,211,207,20.68,LE PEN,FILLON,MÉLENCHON,MACRON,HAMON,39.61,18.36,16.91,11.59,4.83,DROITE,DROITE,GAUCHE,CENTRE,GAUCHE,11.59,1.93,62.32,24.15,21.43,18327.0,49.42,0.0,0.0,351,354,DROITE,0,LE PEN
59048,00048,Bantigny,2017,386,50,336,322,12.95,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,34.16,22.36,17.39,13.66,5.28,DROITE,CENTRE,DROITE,GAUCHE,DROITE,22.36,2.48,56.83,18.32,11.76,22500.0,54.08,0.0,0.0,507,515,DROITE,0,LE PEN
59049,00049,Bantouzelle,2017,316,73,243,236,23.1,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,39.41,16.53,15.25,14.83,9.32,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.25,2.54,63.56,18.64,22.55,18517.0,59.86,0.0,0.0,440,447,DROITE,0,LE PEN
59050,00050,Bas-Lieu,2017,233,34,199,197,14.59,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,31.98,23.86,20.3,8.63,8.12,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.3,1.52,63.96,14.21,23.81,20601.0,50.61,0.0,0.0,339,347,DROITE,0,LE PEN
59051,00051,La Bassée,2017,4409,1006,3403,3318,22.82,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,33.94,18.63,17.99,13.8,6.72,DROITE,CENTRE,GAUCHE,DROITE,DROITE,18.63,1.45,54.46,25.47,15.22,18819.0,56.44,45.01,289.0,6622,6660,DROITE,0,LE PEN
59052,00052,Bauvin,2017,4113,859,3254,3162,20.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,39.47,21.76,16.41,9.49,4.87,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,16.41,1.39,53.45,28.75,12.65,20365.0,53.2,24.09,126.0,4999,5042,DROITE,0,LE PEN
59053,00053,Bavay,2017,2222,409,1813,1757,18.41,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,37.11,17.76,17.3,14.51,5.86,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.3,1.59,60.73,20.38,20.82,18379.0,54.61,37.31,125.0,3246,3306,DROITE,0,LE PEN
59054,00054,Bavinchove,2017,745,129,616,594,17.32,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,31.31,21.72,15.99,15.15,7.91,DROITE,CENTRE,GAUCHE,DROITE,DROITE,21.72,0.67,54.38,23.23,11.96,20784.0,53.79,7.29,7.0,1046,1054,DROITE,0,LE PEN
59055,00055,Bazuel,2017,429,96,333,322,22.38,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,38.51,23.6,15.84,11.49,4.97,DROITE,DROITE,CENTRE,GAUCHE,DROITE,15.84,0.31,67.08,16.77,20.0,17630.0,57.49,16.89,9.0,537,546,DROITE,0,LE PEN
