code_commune,commune,candidat,nb_votes,2017_votes,2017_target,2022_votes,2022_target,inscrits,abstentions,votants,exprimes,pct_abstention,pct_CENTRE,pct_DROITE,pct_GAUCHE,pct_DIVERS,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,Tg
559,Sebourg,MACRON,290,22.94,0,22.78,0,1547,262,1285,1264,16.94,22.94,57.91,17.01,2.14,4.74,27921.0,66.73,3.05,6.0,1966,1998,0
560,Seclin,LE PEN,1879,27.36,1,29.24,1,8871,1834,7037,6868,20.67,19.47,46.56,32.47,1.5,14.65,20479.0,61.94,86.42,1077.0,12463,12562,1
560,Seclin,MÉLENCHON,1672,24.34,0,26.41,0,8871,1834,7037,6868,20.67,19.47,46.56,32.47,1.5,14.65,20479.0,61.94,86.42,1077.0,12463,12562,0
562,Sémeries,LE PEN,103,31.69,1,36.83,1,418,86,332,325,20.57,18.77,53.54,24.92,2.77,5.66,20013.0,46.91,0.0,0.0,546,552,1
562,Sémeries,MÉLENCHON,66,20.31,0,24.55,0,418,86,332,325,20.57,18.77,53.54,24.92,2.77,5.66,20013.0,46.91,0.0,0.0,546,552,0
563,Semousies,LE PEN,55,35.26,1,39.86,1,197,39,158,156,19.8,13.46,67.31,18.59,0.64,4.35,22551.0,50.56,0.0,0.0,246,249,1
563,Semousies,FILLON,44,28.21,0,29.73,0,197,39,158,156,19.8,13.46,67.31,18.59,0.64,4.35,22551.0,50.56,0.0,0.0,246,249,0
564,La Sentinelle,LE PEN,613,39.63,1,41.84,1,2097,512,1585,1547,24.42,14.35,52.68,31.67,1.29,21.62,16963.0,56.6,56.54,178.0,3148,3232,1
564,La Sentinelle,MÉLENCHON,382,24.69,0,20.44,0,2097,512,1585,1547,24.42,14.35,52.68,31.67,1.29,21.62,16963.0,56.6,56.54,178.0,3148,3232,0
565,Sepmeries,LE PEN,126,30.14,1,31.73,1,501,69,432,418,13.77,23.44,54.07,18.42,4.07,16.13,22651.0,57.14,0.0,0.0,672,683,1
565,Sepmeries,MACRON,98,23.44,0,28.93,0,501,69,432,418,13.77,23.44,54.07,18.42,4.07,16.13,22651.0,57.14,0.0,0.0,672,683,0
566,Sequedin,LE PEN,691,27.18,1,36.47,1,3164,577,2587,2542,18.24,24.47,52.48,22.11,0.94,6.69,23206.0,56.94,43.19,203.0,4700,4725,1
566,Sequedin,MACRON,622,24.47,0,27.46,0,3164,577,2587,2542,18.24,24.47,52.48,22.11,0.94,6.69,23206.0,56.94,43.19,203.0,4700,4725,0
567,Séranvillers-Forenville,LE PEN,82,33.2,1,37.6,1,295,46,249,247,15.59,14.98,65.18,18.22,1.62,14.24,21865.0,58.24,0.0,0.0,404,405,1
567,Séranvillers-Forenville,FILLON,51,20.65,0,19.2,0,295,46,249,247,15.59,14.98,65.18,18.22,1.62,14.24,21865.0,58.24,0.0,0.0,404,405,0
568,Sercus,FILLON,73,26.55,1,35.13,1,325,43,282,275,13.23,17.45,60.0,21.09,1.45,2.22,21369.0,56.99,0.0,0.0,450,455,1
568,Sercus,LE PEN,69,25.09,0,29.39,0,325,43,282,275,13.23,17.45,60.0,21.09,1.45,2.22,21369.0,56.99,0.0,0.0,450,455,0
569,Sin-le-Noble,LE PEN,2727,35.8,1,37.84,1,10741,2879,7862,7617,26.8,14.85,49.51,34.08,1.56,22.91,16698.0,54.25,60.02,927.0,15446,15552,1
569,Sin-le-Noble,MÉLENCHON,2039,26.77,0,24.93,0,10741,2879,7862,7617,26.8,14.85,49.51,34.08,1.56,22.91,16698.0,54.25,60.02,927.0,15446,15552,0
570,Socx,FILLON,260,38.35,1,41.22,1,801,110,691,678,13.73,18.88,63.72,16.52,0.88,8.05,26423.0,57.2,0.0,0.0,934,970,1
570,Socx,MACRON,128,18.88,0,23.35,0,801,110,691,678,13.73,18.88,63.72,16.52,0.88,8.05,26423.0,57.2,0.0,0.0,934,970,0
571,Solesmes,LE PEN,1046,41.94,1,45.71,1,3353,798,2555,2494,23.8,13.35,62.11,23.58,0.96,27.43,17066.0,51.12,36.24,159.0,4387,4487,1
571,Solesmes,MÉLENCHON,460,18.44,0,18.45,0,3353,798,2555,2494,23.8,13.35,62.11,23.58,0.96,27.43,17066.0,51.12,36.24,159.0,4387,4487,0
572,Solre-le-Château,LE PEN,315,30.76,1,35.1,1,1368,318,1050,1024,23.25,19.34,54.69,24.61,1.37,18.91,18719.0,57.08,24.02,44.0,1832,1857,1
