code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur
59104,00104,Boussois,2017,2196,507,1689,1634,23.09,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,39.78,26.25,12.67,8.63,4.41,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,12.67,1.65,52.02,33.66,DROITE
59105,00105,Bouvignies,2017,1292,204,1088,1060,15.79,LE PEN,MACRON,FILLON,MÉLENCHON,HAMON,25.38,21.51,21.23,17.36,6.51,DROITE,CENTRE,DROITE,GAUCHE,GAUCHE,21.51,0.94,52.17,25.38,DROITE
59106,00106,Bouvines,2017,588,61,527,521,10.37,MACRON,FILLON,LE PEN,MÉLENCHON,HAMON,31.67,26.1,16.51,13.24,5.37,CENTRE,DROITE,DROITE,GAUCHE,GAUCHE,31.67,0.96,47.6,19.77,DROITE
59107,00107,Bray-Dunes,2017,3819,860,2959,2889,22.52,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,34.27,19.0,17.93,15.99,4.64,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.93,2.04,57.91,22.12,DROITE
59108,00108,Briastre,2017,503,74,429,418,14.71,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,38.52,25.36,15.07,9.33,4.78,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,15.07,1.91,51.91,31.1,DROITE
59109,00109,Brillon,2017,613,97,516,505,15.82,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,28.91,24.95,19.8,13.27,5.15,DROITE,CENTRE,DROITE,GAUCHE,DROITE,24.95,2.77,53.86,18.42,DROITE
59110,00110,Brouckerque,2017,1124,167,957,933,14.86,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,36.01,19.72,17.68,12.54,6.86,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.68,2.47,62.59,17.26,DROITE
59111,00111,Broxeele,2017,272,58,214,210,21.32,LE PEN,FILLON,MACRON,MÉLENCHON,HAMON,36.67,18.57,16.19,16.19,4.76,DROITE,DROITE,CENTRE,GAUCHE,GAUCHE,16.19,0.48,59.05,24.29,DROITE
59112,00112,Bruay-sur-l'Escaut,2017,7892,2207,5685,5543,27.97,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,46.24,20.93,13.58,6.58,4.82,DROITE,GAUCHE,CENTRE,DROITE,DROITE,13.58,1.44,57.64,27.33,DROITE
59113,00113,Bruille-lez-Marchiennes,2017,881,114,767,748,12.94,MÉLENCHON,LE PEN,MACRON,FILLON,DUPONT-AIGNAN,33.82,32.62,13.24,7.62,4.95,GAUCHE,DROITE,CENTRE,DROITE,DROITE,13.24,2.27,45.19,39.3,DROITE
59114,00114,Bruille-Saint-Amand,2017,1218,249,969,947,20.44,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,37.7,18.37,17.95,15.52,5.07,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.95,0.84,58.29,22.91,DROITE
59115,00115,Brunémont,2017,499,95,404,393,19.04,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,44.78,15.52,14.25,10.43,7.63,DROITE,CENTRE,GAUCHE,DROITE,DROITE,15.52,1.02,62.85,20.61,DROITE
59116,00116,Bry,2017,296,32,264,259,10.81,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,28.19,23.17,22.01,15.83,4.63,DROITE,DROITE,CENTRE,GAUCHE,DROITE,22.01,2.32,55.98,19.69,DROITE
59117,00117,Bugnicourt,2017,771,128,643,626,16.6,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,38.5,18.53,16.61,14.06,6.87,DROITE,GAUCHE,CENTRE,DROITE,DROITE,16.61,1.6,59.42,22.36,DROITE
59118,00118,Busigny,2017,1804,369,1435,1404,20.45,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,44.09,14.32,14.03,13.82,6.41,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.03,1.78,64.32,19.87,DROITE
59119,00119,Buysscheure,2017,426,62,364,360,14.55,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,31.39,21.67,18.89,18.33,3.89,DROITE,DROITE,GAUCHE,CENTRE,DROITE,18.33,1.11,56.94,23.61,DROITE
59120,00120,Caëstre,2017,1462,217,1245,1205,14.84,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,26.97,24.98,20.83,13.86,6.64,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.83,1.49,58.59,19.09,DROITE
59121,00121,Cagnoncles,2017,472,101,371,359,21.4,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,42.62,15.88,15.6,11.42,7.8,DROITE,DROITE,CENTRE,GAUCHE,DROITE,15.6,2.79,66.3,15.32,DROITE
59122,00122,Cambrai,2017,23187,6894,16293,15935,29.73,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,28.5,20.22,19.22,17.41,6.16,DROITE,DROITE,CENTRE,GAUCHE,DROITE,19.22,1.8,54.88,24.1,DROITE
59123,00123,Camphin-en-Carembault,2017,1349,214,1135,1109,15.86,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,25.07,23.53,20.92,15.96,6.76,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.53,1.08,52.75,22.63,DROITE
59124,00124,Camphin-en-Pévèle,2017,1770,288,1482,1453,16.27,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,31.93,24.57,18.72,13.76,5.44,DROITE,CENTRE,DROITE,GAUCHE,DROITE,24.57,1.65,56.09,17.69,DROITE
59125,00125,Cantaing-sur-Escaut,2017,329,51,278,268,15.5,LE PEN,FILLON,MACRON,DUPONT-AIGNAN,MÉLENCHON,35.45,19.78,15.3,10.82,9.33,DROITE,DROITE,CENTRE,DROITE,GAUCHE,15.3,2.24,66.04,16.42,DROITE
59126,00126,Cantin,2017,1072,150,922,899,13.99,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,38.04,18.58,16.02,15.35,5.34,DROITE,CENTRE,GAUCHE,DROITE,DROITE,18.58,0.67,58.73,22.02,DROITE
59127,00127,Capelle,2017,128,17,111,111,13.28,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,27.93,19.82,15.32,14.41,10.81,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.82,1.8,53.15,25.23,DROITE
