code_geo,libelle_commune,annee,bloc_vainqueur,cible_binaire,cible_multiclasse,bloc_cand1_enc,taux_faible_diplome_scaled,bloc_cand3_enc,bloc_cand2_enc,bloc_cand5_enc,revenu_median_scaled,log_delinquance_scaled,cible_transition,cible_transition_enc
59528,Saint-Aubert,2017,DROITE,0,0,0,-0.7881541572329134,0,2,0,-0.6399095575754082,0.35627803494514987,STABLE_DROITE,0
59529,Saint-Aubin,2017,DROITE,0,0,0,-0.45725286310739877,2,0,0,0.37250572523479286,-1.032153966622708,STABLE_DROITE,0
59530,Saint-Aybert,2017,DROITE,0,0,0,-1.2874087413521103,2,0,0,-0.011706367171284092,0.8267178552992798,STABLE_DROITE,0
59531,Saint-Benin,2017,DROITE,0,0,0,-1.649271560074165,1,2,3,-0.925277342447956,-1.032153966622708,STABLE_DROITE,0
59532,Saint-Georges-sur-l'Aa,2017,DROITE,0,0,0,-0.8133103959676021,1,0,0,-0.03108116499347088,-1.032153966622708,STABLE_DROITE,0
59533,Saint-Hilaire-lez-Cambrai,2017,DROITE,0,0,0,-0.16118328415299085,1,2,0,-0.627102487828539,0.5783879909071841,STABLE_DROITE,0
59534,Saint-Hilaire-sur-Helpe,2017,DROITE,0,0,0,-0.7862190619456301,1,2,0,-0.40905391572799615,-1.032153966622708,STABLE_DROITE,0
59535,Saint-Jans-Cappel,2017,DROITE,0,0,0,0.7096095951246788,0,1,0,0.9002226760865584,0.16008484823816832,BASCULE_CENTRE,1
59536,Sainte-Marie-Cappel,2017,CENTRE,1,1,1,0.2896939177841133,0,0,0,0.7573745904484016,-1.032153966622708,CENTRE,2
59537,Saint-Martin-sur-Ecaillon,2017,DROITE,0,0,0,-0.021856423468563937,1,2,0,0.30518651246278794,-1.032153966622708,BASCULE_CENTRE,1
59538,Saint-Momelin,2017,DROITE,0,0,0,-0.2521327626553264,0,2,0,-1.2053909448602498,-1.032153966622708,STABLE_DROITE,0
59539,Saint-Pierre-Brouck,2017,DROITE,0,0,0,-1.7402210385764991,1,2,0,-0.05373982685331644,-1.032153966622708,STABLE_DROITE,0
59541,Saint-Python,2017,DROITE,0,0,0,-1.0726131644636185,1,2,2,-0.8763477682868401,0.5089385391482731,STABLE_DROITE,0
59542,Saint-Remy-Chaussée,2017,DROITE,0,0,0,-1.778922944322174,2,1,0,-0.11219260672364269,-1.032153966622708,STABLE_DROITE,0
59543,Saint-Remy-du-Nord,2017,DROITE,0,0,0,-2.4697519618824586,1,0,0,-0.5535439333849824,0.3385959466895252,STABLE_DROITE,0
59544,Saint-Saulve,2017,DROITE,0,0,0,0.22970596387831785,1,0,0,-0.21727625592872357,1.3162223778586915,STABLE_DROITE,0
59545,Saint-Souplet,2017,DROITE,0,0,0,-0.8345964441277228,0,2,0,-1.2405282900631986,0.4460427342150038,STABLE_DROITE,0
59546,Saint-Sylvestre-Cappel,2017,DROITE,0,0,0,-0.44951248195826404,1,0,2,0.14887458427023012,-1.032153966622708,STABLE_DROITE,0
59547,Saint-Vaast-en-Cambrésis,2017,DROITE,0,0,0,0.49481401823618565,1,2,0,-0.7147816576340283,-1.032153966622708,STABLE_DROITE,0
59548,Saint-Waast,2017,DROITE,0,0,0,-0.2985750495501344,1,2,0,0.15905456278697233,-1.032153966622708,STABLE_DROITE,0
59549,Salesches,2017,DROITE,0,0,0,-0.602385009653677,2,0,2,-0.41496487099578194,-1.032153966622708,STABLE_DROITE,0
59550,Salomé,2017,DROITE,0,0,0,-0.5153057217259108,1,2,0,-0.22909816646429515,0.6609204853675041,STABLE_DROITE,0
59551,Saméon,2017,DROITE,0,0,0,2.0893325349579634,1,0,2,1.7172480486560622,0.6297262350831043,BASCULE_CENTRE,1
59552,Sancourt,2017,DROITE,0,0,0,0.35742225283904344,1,0,0,0.05495607279318909,-1.032153966622708,STABLE_DROITE,0
59553,Santes,2017,CENTRE,1,1,1,1.0521214609738947,0,0,0,1.0870745398293429,0.791391157152593,CENTRE,2
59554,Sars-et-Rosières,2017,DROITE,0,0,0,1.888082625080459,0,1,0,1.6197172867375966,-1.032153966622708,BASCULE_CENTRE,1
59555,Sars-Poteries,2017,DROITE,0,0,0,-1.0880939267618892,1,2,0,-1.489116797713968,0.6113007415663018,STABLE_DROITE,0
59556,Sassegnies,2017,DROITE,0,0,0,-0.412745671499874,0,2,0,-0.07771203432822552,-1.032153966622708,STABLE_DROITE,0
59557,Saultain,2017,DROITE,0,0,0,0.012975291702542793,1,2,0,0.3353980616092487,0.9498246379874495,STABLE_DROITE,0
59558,Saulzoir,2017,DROITE,0,0,0,-0.2811591919645818,0,2,0,-0.4097106885355279,0.1433238798088945,STABLE_DROITE,0
59559,Sebourg,2017,DROITE,0,0,0,2.1396450124273407,0,1,0,2.2991487561291977,-0.16087679461811014,BASCULE_CENTRE,1
59560,Seclin,2017,DROITE,0,0,0,1.2127343698184423,1,2,2,-0.14470286069646457,1.4806344526781543,STABLE_DROITE,0
59562,Sémeries,2017,DROITE,0,0,0,-1.6957138469689743,1,2,0,-0.2977309248513636,-1.032153966622708,STABLE_DROITE,0
59563,Semousies,2017,DROITE,0,0,0,-0.9894040671104191,2,0,0,0.5357137679064341,-1.032153966622708,STABLE_DROITE,0
59564,La Sentinelle,2017,DROITE,0,0,0,0.17939348640894176,1,2,0,-1.2993094563372907,1.4806344526781543,STABLE_DROITE,0
59565,Sepmeries,2017,DROITE,0,0,0,0.28388863192226194,0,1,0,0.5685524082830219,-1.032153966622708,STABLE_DROITE,0
59566,Sequedin,2017,DROITE,0,0,0,0.2451867261765872,0,1,0,0.750806862373084,1.327746253686915,BASCULE_CENTRE,1
59567,Séranvillers-Forenville,2017,DROITE,0,0,0,0.49674911352347034,1,0,0,0.310440694923042,-1.032153966622708,STABLE_DROITE,0
59568,Sercus,2017,DROITE,0,0,0,0.25486220261300657,1,0,0,0.14756103865516662,-1.032153966622708,BASCULE_CENTRE,1
59569,Sin-le-Noble,2017,DROITE,0,0,0,-0.2753539061027304,1,2,2,-1.3863318533352482,1.4806344526781543,STABLE_DROITE,0
59570,Socx,2017,DROITE,0,0,0,0.29549920364596466,0,1,0,1.8072259232879127,-1.032153966622708,BASCULE_CENTRE,1
59571,Solesmes,2017,DROITE,0,0,0,-0.8810387310225323,0,2,0,-1.2654856567494053,1.2211566690155888,STABLE_DROITE,0
59572,Solre-le-Château,2017,DROITE,0,0,0,0.27227806019855927,0,1,0,-0.7226629313244094,0.9734197178526814,STABLE_DROITE,0
