code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59233,00233,Flaumont-Waudrechies,2022,270,73,197,195,27.04,LE PEN,MACRON,MÉLENCHON,PÉCRESSE,LASSALLE,43.08,21.54,18.46,4.1,3.08,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,21.54,3.08,51.28,24.1,24.18,20600.0,49.24,0.0,0.0,351,354,DROITE,0,LE PEN
59240,00240,Floursies,2022,107,16,91,90,14.95,LE PEN,MACRON,MÉLENCHON,LASSALLE,JADOT,36.67,23.33,14.44,8.89,5.56,DROITE,CENTRE,GAUCHE,DIVERS,GAUCHE,23.33,8.89,43.33,24.44,13.33,24000.0,57.89,0.0,0.0,127,130,DROITE,0,LE PEN
59249,00249,Fourmies,2022,8516,3079,5437,5342,36.16,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,45.21,20.76,15.39,4.74,3.2,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,20.76,1.89,53.93,23.42,28.18,16810.0,53.99,48.66,561.0,11456,11632,DROITE,0,LE PEN
59261,00261,Glageon,2022,1103,295,808,787,26.75,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,45.74,22.74,12.58,5.59,3.81,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.74,2.54,56.8,17.92,23.55,18450.0,50.28,12.7,22.0,1739,1769,DROITE,0,LE PEN
59264,00264,Gognies-Chaussée,2022,558,203,355,353,36.38,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,DUPONT-AIGNAN,35.98,26.91,14.73,8.5,3.4,DROITE,CENTRE,GAUCHE,DROITE,DROITE,26.91,2.27,49.29,21.53,3.03,23430.0,51.33,0.0,0.0,727,738,DROITE,0,LE PEN
59277,00277,Gussignies,2022,176,49,127,127,27.84,MACRON,LE PEN,MÉLENCHON,ZEMMOUR,JADOT,37.01,25.2,15.75,5.51,3.94,CENTRE,DROITE,GAUCHE,DROITE,GAUCHE,37.01,2.36,33.86,26.77,19.23,25410.0,50.58,0.0,0.0,347,350,CENTRE,1,MACRON
59306,00306,Hestrud,2022,187,60,127,124,32.09,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,LASSALLE,28.23,27.42,12.9,8.06,5.65,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,27.42,5.65,45.97,20.97,15.93,21660.0,49.41,0.0,0.0,296,299,DROITE,0,LE PEN
59310,00310,Hon-Hergies,2022,470,108,362,355,22.98,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,DUPONT-AIGNAN,37.18,24.51,14.08,6.76,5.07,DROITE,CENTRE,GAUCHE,DROITE,DROITE,24.51,2.82,53.24,19.44,7.89,26090.0,56.88,5.69,5.0,866,876,DROITE,0,LE PEN
59315,00315,Houdain-lez-Bavay,2022,657,197,460,446,29.98,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,36.55,23.09,13.68,8.52,3.59,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,23.09,2.69,51.57,22.65,10.09,23570.0,55.09,0.0,0.0,901,913,DROITE,0,LE PEN
59324,00324,Jeumont,2022,6590,2607,3983,3922,39.56,LE PEN,MÉLENCHON,MACRON,ZEMMOUR,ROUSSEL,40.13,25.91,17.49,5.02,2.37,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,17.49,1.27,48.73,32.51,29.29,16910.0,48.67,45.36,466.0,10342,10433,DROITE,0,LE PEN
59342,00342,Lez-Fontaine,2022,162,20,142,141,12.35,MACRON,LE PEN,MÉLENCHON,ZEMMOUR,LASSALLE,29.08,25.53,20.57,10.64,4.26,CENTRE,DROITE,GAUCHE,DROITE,DIVERS,29.08,4.26,42.55,24.11,0.0,23880.0,52.6,0.0,0.0,227,233,CENTRE,1,MACRON
59347,00347,Liessies,2022,394,95,299,293,24.11,LE PEN,MÉLENCHON,MACRON,JADOT,ROUSSEL,36.18,19.8,19.45,5.12,3.75,DROITE,GAUCHE,CENTRE,GAUCHE,GAUCHE,19.45,2.73,45.39,32.42,9.62,23010.0,50.68,0.0,0.0,531,547,DROITE,0,LE PEN
59357,00357,La Longueville,2022,1580,406,1174,1157,25.7,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,37.17,24.37,13.74,8.3,3.8,DROITE,CENTRE,GAUCHE,DROITE,DROITE,24.37,3.37,50.99,21.26,7.17,22690.0,53.39,12.13,25.0,2065,2092,DROITE,0,LE PEN
59365,00365,Louvroil,2022,3623,1246,2377,2346,34.39,MÉLENCHON,LE PEN,MACRON,ZEMMOUR,ROUSSEL,40.75,32.65,12.36,4.35,3.92,GAUCHE,DROITE,CENTRE,DROITE,GAUCHE,12.36,1.15,39.6,46.89,23.49,15180.0,54.63,68.05,431.0,6357,6397,GAUCHE,1,MÉLENCHON
59370,00370,Mairieux,2022,524,143,381,374,27.29,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,36.1,30.48,11.23,7.49,5.35,DROITE,CENTRE,GAUCHE,DROITE,DROITE,30.48,1.34,50.53,17.65,8.46,26820.0,53.51,0.0,0.0,699,710,DROITE,0,LE PEN
59385,00385,Marpent,2022,1669,535,1134,1120,32.06,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,45.62,17.68,17.23,6.07,3.66,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,17.68,1.61,55.36,25.36,17.74,19210.0,45.53,20.01,53.0,2654,2676,DROITE,0,LE PEN
