commune,candidat,pct_2022,target_2022,prediction,correct
Capinghem,MACRON,38.19,1,1,1
Capinghem,LE PEN,20.05,0,0,1
La Chapelle-d'Armentières,MACRON,33.07,1,1,1
La Chapelle-d'Armentières,LE PEN,26.72,0,1,0
Englos,MACRON,42.89,1,1,1
Englos,LE PEN,18.09,0,0,1
Ennetières-en-Weppes,MACRON,43.38,1,1,1
Ennetières-en-Weppes,LE PEN,16.3,0,0,1
Erquinghem-le-Sec,MACRON,40.53,1,1,1
Erquinghem-le-Sec,LE PEN,17.63,0,0,1
Erquinghem-Lys,MACRON,31.33,1,1,1
Erquinghem-Lys,LE PEN,29.87,0,1,0
Escobecques,MACRON,44.35,1,1,1
Escobecques,LE PEN,17.83,0,0,1
Frelinghien,MACRON,36.0,1,1,1
Frelinghien,LE PEN,26.39,0,1,0
Hallennes-lez-Haubourdin,LE PEN,28.92,1,1,1
Hallennes-lez-Haubourdin,MACRON,28.57,0,1,0
Houplines,LE PEN,32.37,1,1,1
Houplines,MACRON,25.02,0,0,1
Le Maisnil,MACRON,44.99,1,1,1
Le Maisnil,LE PEN,14.45,0,0,1
Prémesques,MACRON,37.23,1,1,1
Prémesques,LE PEN,21.45,0,0,1
Radinghem-en-Weppes,MACRON,43.72,1,1,1
Radinghem-en-Weppes,LE PEN,16.88,0,0,1
Sequedin,MACRON,36.47,1,1,1
Sequedin,LE PEN,27.46,0,1,0
Aulnoye-Aymeries,LE PEN,37.33,1,1,1
Aulnoye-Aymeries,MÉLENCHON,21.27,0,0,1
Avesnelles,LE PEN,36.32,1,1,1
Avesnelles,MACRON,24.43,0,0,1
Avesnes-les-Aubert,LE PEN,45.88,1,1,1
Avesnes-les-Aubert,MÉLENCHON,15.15,0,0,1
Bachant,LE PEN,44.64,1,1,1
Bachant,MÉLENCHON,19.24,0,0,1
Beaudignies,LE PEN,33.52,1,1,1
Beaudignies,MACRON,24.18,0,0,1
Beaufort,LE PEN,43.78,1,1,1
Beaufort,MACRON,24.68,0,0,1
Beaurain,LE PEN,46.45,1,1,1
Beaurain,MACRON,23.87,0,0,1
Beaurepaire-sur-Sambre,LE PEN,40.16,1,1,1
Beaurepaire-sur-Sambre,MACRON,25.41,0,0,1
Beauvois-en-Cambrésis,LE PEN,43.07,1,1,1
Beauvois-en-Cambrésis,MACRON,21.3,0,0,1
Berlaimont,LE PEN,38.74,1,1,1
Berlaimont,MACRON,22.97,0,0,1
Bermerain,LE PEN,41.13,1,1,1
Bermerain,MACRON,25.68,0,0,1
Béthencourt,LE PEN,45.26,1,1,1
Béthencourt,MACRON,19.91,0,0,1
Bévillers,LE PEN,45.09,1,1,1
Bévillers,MACRON,20.55,0,0,1
Boulogne-sur-Helpe,MACRON,37.97,1,1,1
Boulogne-sur-Helpe,LE PEN,34.22,0,1,0
Bousies,LE PEN,38.71,1,1,1
Bousies,MACRON,21.51,0,0,1
Boussières-en-Cambrésis,LE PEN,36.4,1,1,1
Boussières-en-Cambrésis,MACRON,29.2,0,1,0
Boussières-sur-Sambre,LE PEN,40.5,1,1,1
Boussières-sur-Sambre,MACRON,25.81,0,0,1
Briastre,LE PEN,42.3,1,1,1
Briastre,MÉLENCHON,20.54,0,0,1
Bry,MACRON,35.92,1,1,1
Bry,LE PEN,24.08,0,0,1
Capelle,MACRON,27.18,1,1,1
Capelle,LE PEN,26.21,0,1,0
Carnières,LE PEN,49.32,1,1,1
Carnières,MACRON,19.15,0,0,1
Cartignies,LE PEN,38.81,1,1,1
Cartignies,MACRON,24.1,0,0,1
Cattenières,LE PEN,44.7,1,1,1
Cattenières,MACRON,17.42,0,0,1
Croix-Caluyau,LE PEN,40.79,1,1,1
Croix-Caluyau,MACRON,25.66,0,0,1
Eclaibes,MACRON,32.26,1,1,1
Eclaibes,LE PEN,30.65,0,1,0
Ecuélin,LE PEN,48.61,1,1,1
Ecuélin,MACRON,18.06,0,0,1
Englefontaine,LE PEN,38.03,1,1,1
Englefontaine,MACRON,23.26,0,0,1
Escarmain,LE PEN,39.16,1,1,1
Escarmain,MACRON,18.77,0,0,1
Estourmel,LE PEN,30.41,1,1,1
Estourmel,MACRON,29.05,0,1,0
Eth,LE PEN,32.39,1,1,1
Eth,MACRON,30.05,0,1,0
Etroeungt,LE PEN,36.23,1,1,1
Etroeungt,MACRON,28.44,0,1,0
Le Favril,LE PEN,38.38,1,1,1
Le Favril,MACRON,21.13,0,0,1
Floyon,LE PEN,43.72,1,1,1
Floyon,MACRON,24.29,0,0,1
Fontaine-au-Bois,LE PEN,42.73,1,1,1
Fontaine-au-Bois,MACRON,20.79,0,0,1
Fontaine-au-Pire,LE PEN,47.93,1,1,1
Fontaine-au-Pire,MACRON,19.9,0,0,1
Forest-en-Cambrésis,LE PEN,43.23,1,1,1
Forest-en-Cambrésis,MACRON,25.16,0,0,1
Frasnoy,LE PEN,36.74,1,1,1
Frasnoy,MACRON,20.0,0,0,1
Ghissignies,MACRON,33.13,1,1,1
Ghissignies,LE PEN,26.81,0,1,0
Gommegnies,LE PEN,32.07,1,1,1
Gommegnies,MACRON,26.26,0,1,0
Grand-Fayt,LE PEN,39.86,1,1,1
Grand-Fayt,MÉLENCHON,20.28,0,0,1
Hargnies,LE PEN,42.54,1,1,1
Hargnies,MACRON,27.61,0,1,0
