commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Hergnies,DROITE,1,DROITE,1,DROITE,1
Lecelles,CENTRE,0,CENTRE,0,CENTRE,1
Maulde,DROITE,1,DROITE,1,DROITE,1
Millonfosse,CENTRE,0,CENTRE,1,DROITE,0
Mortagne-du-Nord,DROITE,1,DROITE,1,DROITE,1
Nivelle,DROITE,1,DROITE,1,DROITE,1
Odomez,DROITE,1,DROITE,1,DROITE,1
Raismes,DROITE,1,DROITE,1,DROITE,1
Rosult,CENTRE,0,CENTRE,0,CENTRE,1
Rumegies,DROITE,1,DROITE,1,DROITE,1
Saint-Amand-les-Eaux,DROITE,1,DROITE,1,DROITE,1
Sars-et-Rosières,CENTRE,0,CENTRE,0,CENTRE,1
Thun-Saint-Amand,DROITE,1,DROITE,1,DROITE,1
Vicq,DROITE,1,DROITE,1,DROITE,1
Vieux-Condé,DROITE,1,DROITE,1,DROITE,1
Aubry-du-Hainaut,CENTRE,0,CENTRE,0,CENTRE,1
Bellaing,DROITE,1,DROITE,1,DROITE,1
Condé-sur-l'Escaut,DROITE,1,DROITE,2,GAUCHE,0
Crespin,DROITE,1,DROITE,1,DROITE,1
Curgies,CENTRE,0,CENTRE,0,CENTRE,1
Estreux,CENTRE,0,CENTRE,0,CENTRE,1
Marly,DROITE,1,DROITE,1,DROITE,1
Onnaing,DROITE,1,DROITE,1,DROITE,1
Petite-Forêt,DROITE,1,DROITE,2,GAUCHE,0
Préseau,DROITE,1,DROITE,1,DROITE,1
Quarouble,DROITE,1,DROITE,1,DROITE,1
Quiévrechain,DROITE,1,DROITE,1,DROITE,1
Rombies-et-Marchipont,DROITE,1,DROITE,0,CENTRE,0
Saint-Aybert,DROITE,1,DROITE,1,DROITE,1
Saint-Saulve,DROITE,1,DROITE,1,DROITE,1
Saultain,DROITE,1,DROITE,1,DROITE,1
Sebourg,CENTRE,0,CENTRE,0,CENTRE,1
Thivencelle,DROITE,1,DROITE,1,DROITE,1
Valenciennes,CENTRE,0,CENTRE,2,GAUCHE,0
Wallers,DROITE,1,DROITE,1,DROITE,1
