commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Berlaimont,LE PEN,32.89,1.0,19.38,18438.0,53.52,18.36,3105.0,38.74,1.0,1
Berlaimont,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.97,0.0,0
Berlaimont,MÉLENCHON,21.32,0.0,19.38,18438.0,53.52,18.36,3105.0,0.0,0.0,0
Bermerain,LE PEN,31.65,1.0,11.3,20848.0,54.54,0.0,717.0,41.13,1.0,1
Bermerain,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,0.0,0
Bermerain,MÉLENCHON,20.88,0.0,11.3,20848.0,54.54,0.0,717.0,0.0,0.0,0
Bermeries,FILLON,21.05,0.0,12.73,22159.0,55.22,6.11,375.0,0.0,0.0,0
Bermeries,LE PEN,35.53,1.0,12.73,22159.0,55.22,6.11,375.0,33.0,1.0,1
Bermeries,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0
Bersillies,LE PEN,32.3,1.0,4.35,22083.0,46.19,0.0,254.0,33.82,0.0,0
Bersillies,MACRON,24.22,0.0,4.35,22083.0,46.19,0.0,254.0,34.56,1.0,1
Bersée,FILLON,24.92,0.0,7.57,24905.0,59.12,6.78,2213.0,0.0,0.0,0
Bersée,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64,0.0,0
Bersée,MACRON,26.13,1.0,7.57,24905.0,59.12,6.78,2213.0,38.05,1.0,1
Berthen,FILLON,23.4,0.0,5.36,21979.0,57.46,0.0,551.0,0.0,0.0,0
Berthen,LE PEN,25.53,1.0,5.36,21979.0,57.46,0.0,551.0,24.04,0.0,0
Berthen,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43,1.0,1
Bertry,LE PEN,36.64,1.0,16.85,18413.0,52.8,11.0,2181.0,43.93,1.0,1
Bertry,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,0.0,0
Bertry,MÉLENCHON,18.79,0.0,16.85,18413.0,52.8,11.0,2181.0,0.0,0.0,0
Bettignies,LE PEN,35.56,1.0,11.21,19116.0,44.88,0.0,310.0,41.51,1.0,1
Bettignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.53,0.0,0
Bettignies,MÉLENCHON,17.78,0.0,11.21,19116.0,44.88,0.0,310.0,0.0,0.0,0
Bettrechies,LE PEN,30.0,1.0,14.29,20582.0,60.57,0.0,253.0,35.86,1.0,1
Bettrechies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.07,0.0,0
Bettrechies,MÉLENCHON,19.29,0.0,14.29,20582.0,60.57,0.0,253.0,0.0,0.0,0
Beugnies,LE PEN,35.91,1.0,20.9,19614.0,50.88,0.0,630.0,36.02,1.0,1
Beugnies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.38,0.0,0
Beugnies,MÉLENCHON,17.68,0.0,20.9,19614.0,50.88,0.0,630.0,0.0,0.0,0
Beuvrages,LE PEN,37.34,1.0,27.27,15389.0,49.63,29.88,6660.0,37.71,1.0,1
Beuvrages,MÉLENCHON,29.65,0.0,27.27,15389.0,49.63,29.88,6660.0,26.87,0.0,0
Beuvry-la-Forêt,LE PEN,26.84,1.0,9.16,23058.0,57.48,16.04,2743.0,31.35,1.0,1
Beuvry-la-Forêt,MACRON,23.41,0.0,9.16,23058.0,57.48,16.04,2743.0,28.93,0.0,0
Bierne,LE PEN,33.42,1.0,12.85,22936.0,51.31,6.6,1817.0,34.77,1.0,1
Bierne,MACRON,23.12,0.0,12.85,22936.0,51.31,6.6,1817.0,27.6,0.0,0
Bissezeele,FILLON,28.19,1.0,6.67,22246.0,59.17,0.0,243.0,0.0,0.0,0
Bissezeele,LE PEN,26.17,0.0,6.67,22246.0,59.17,0.0,243.0,27.61,1.0,1
Bissezeele,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.54,0.0,0
Blaringhem,LE PEN,31.52,1.0,9.92,19949.0,54.06,6.26,2076.0,37.94,1.0,1
Blaringhem,MACRON,21.01,0.0,9.92,19949.0,54.06,6.26,2076.0,27.59,0.0,0
Blécourt,FILLON,19.83,0.0,18.67,22718.0,52.17,0.0,305.0,0.0,0.0,0
Blécourt,LE PEN,37.93,1.0,18.67,22718.0,52.17,0.0,305.0,36.32,1.0,1
Blécourt,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.62,0.0,0
Boeschepe,LE PEN,29.43,1.0,9.96,21422.0,58.19,2.74,2186.0,32.97,1.0,1
Boeschepe,MACRON,18.45,0.0,9.96,21422.0,58.19,2.74,2186.0,25.25,0.0,0
Bois-Grenier,FILLON,35.34,1.0,10.03,26546.0,65.67,22.46,1603.0,0.0,0.0,0
Bois-Grenier,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59,0.0,0
Bois-Grenier,MACRON,22.14,0.0,10.03,26546.0,65.67,22.46,1603.0,43.48,1.0,1
Bollezeele,FILLON,22.39,0.0,14.47,19455.0,57.59,0.0,1441.0,0.0,0.0,0
Bollezeele,LE PEN,35.11,1.0,14.47,19455.0,57.59,0.0,1441.0,36.98,1.0,1
Bollezeele,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,0
Bondues,FILLON,54.58,1.0,12.14,31947.0,70.63,30.86,10046.0,0.0,0.0,0
Bondues,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.93,0.0,0
Bondues,MACRON,22.09,0.0,12.14,31947.0,70.63,30.86,10046.0,50.78,1.0,1
Borre,FILLON,27.86,1.0,3.45,22235.0,54.55,0.0,603.0,0.0,0.0,0
Borre,LE PEN,26.82,0.0,3.45,22235.0,54.55,0.0,603.0,27.35,0.0,0
Borre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.25,1.0,1
Bouchain,LE PEN,37.09,1.0,19.45,19158.0,52.6,43.27,3998.0,46.82,1.0,1
Bouchain,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,0.0,0
Bouchain,MÉLENCHON,22.04,0.0,19.45,19158.0,52.6,43.27,3998.0,0.0,0.0,0
Boulogne-sur-Helpe,FILLON,27.07,0.0,2.78,19928.0,50.0,0.0,340.0,0.0,0.0,0
Boulogne-sur-Helpe,LE PEN,31.44,1.0,2.78,19928.0,50.0,0.0,340.0,34.22,0.0,0
Boulogne-sur-Helpe,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.97,1.0,1
Bourbourg,LE PEN,41.89,1.0,19.26,17683.0,53.39,22.64,7112.0,43.69,1.0,1
Bourbourg,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.43,0.0,0
Bourbourg,MÉLENCHON,15.2,0.0,19.26,17683.0,53.39,22.64,7112.0,0.0,0.0,0
Bourghelles,FILLON,29.06,1.0,7.83,26273.0,64.63,11.93,1676.0,0.0,0.0,0
Bourghelles,LE PEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.85,0.0,0
Bourghelles,MACRON,25.3,0.0,7.83,26273.0,64.63,11.93,1676.0,39.22,1.0,1
Boursies,FILLON,19.7,0.0,24.32,19237.0,45.49,0.0,386.0,0.0,0.0,0
Boursies,LE PEN,41.41,1.0,24.32,19237.0,45.49,0.0,386.0,44.02,1.0,1
Boursies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,0.0,0
Bousbecque,FILLON,26.27,0.0,8.87,22338.0,56.28,27.52,4833.0,0.0,0.0,0
