code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59388,Marquillies,31,59,5,7,1993,37,2030,2011
59389,Masnières,31,59,2,43,2638,29,2667,2011
59390,Masny,31,59,3,24,4268,48,4316,2011
59391,Mastaing,31,59,6,11,891,13,904,2011
59392,Maubeuge,31,59,1,93,31103,436,31539,2011
59393,Maulde,31,59,6,56,947,11,958,2011
59394,Maurois,31,59,2,17,425,4,429,2011
59395,Mazinghien,31,59,2,17,317,4,321,2011
59396,Mecquignies,31,59,1,8,674,12,686,2011
59397,Merckeghem,31,59,4,68,569,9,578,2011
59398,Mérignies,31,59,5,48,2533,151,2684,2011
59399,Merris,31,59,4,6,1057,19,1076,2011
59400,Merville,31,59,4,46,9216,116,9332,2011
59401,Méteren,31,59,4,6,2140,35,2175,2011
59402,Millam,31,59,4,12,788,22,810,2011
59403,Millonfosse,31,59,6,56,657,6,663,2011
59404,Les Moëres,31,59,4,31,862,9,871,2011
59405,Moeuvres,31,59,2,43,431,7,438,2011
59406,Monceau-Saint-Waast,31,59,1,10,514,2,516,2011
59407,Monchaux-sur-Écaillon,31,59,6,67,545,13,558,2011
59408,Moncheaux,31,59,5,48,1447,34,1481,2011
59409,Monchecourt,31,59,3,1,2550,38,2588,2011
59410,Mons-en-Baroeul,31,59,5,37,21361,134,21495,2011
59411,Mons-en-Pévèle,31,59,5,48,2126,39,2165,2011
59412,Montay,31,59,2,17,343,4,347,2011
59413,Montigny-en-Cambrésis,31,59,2,18,586,8,594,2011
59414,Montigny-en-Ostrevent,31,59,3,24,4841,55,4896,2011
59415,Montrécourt,31,59,2,58,234,3,237,2011
59416,Morbecque,31,59,4,30,2643,57,2700,2011
59418,Mortagne-du-Nord,31,59,6,55,1612,14,1626,2011
59419,Mouchin,31,59,5,20,1380,26,1406,2011
59420,Moustier-en-Fagne,31,59,1,64,61,5,66,2011
59421,Mouvaux,31,59,5,63,13477,197,13674,2011
59422,Naves,31,59,2,13,628,11,639,2011
59423,Neuf-Berquin,31,59,4,46,1235,28,1263,2011
59424,Neuf-Mesnil,31,59,1,69,1273,8,1281,2011
59427,La Neuville,31,59,5,48,672,15,687,2011
59425,Neuville-en-Avesnois,31,59,1,49,291,11,302,2011
59426,Neuville-en-Ferrain,31,59,5,62,10266,98,10364,2011
59428,Neuville-Saint-Rémy,31,59,2,14,3789,51,3840,2011
59429,Neuville-sur-Escaut,31,59,6,11,2531,22,2553,2011
59430,Neuvilly,31,59,2,17,1061,6,1067,2011
59431,Nieppe,31,59,4,5,7500,85,7585,2011
59432,Niergnies,31,59,2,13,495,19,514,2011
59433,Nieurlet,31,59,4,68,988,9,997,2011
