code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59620,620,Villers-au-Tertre,667,676,2016
59622,622,Villers-en-Cauchies,1161,1177,2016
59623,623,Villers-Guislain,680,684,2016
59624,624,Villers-Outréaux,2156,2179,2016
59625,625,Villers-Plouich,389,394,2016
59626,626,Villers-Pol,1262,1284,2016
59627,627,Villers-Sire-Nicole,1006,1016,2016
59628,628,Volckerinckhove,560,565,2016
59629,629,Vred,1311,1334,2016
59630,630,Wahagnies,2605,2655,2016
59631,631,Walincourt-Selvigny,2112,2132,2016
59632,632,Wallers,5598,5634,2016
59633,633,Wallers-en-Fagne,280,287,2016
59634,634,Wallon-Cappel,788,807,2016
59635,635,Wambaix,368,374,2016
59636,636,Wambrechies,10798,10912,2016
59637,637,Wandignies-Hamage,1318,1336,2016
59638,638,Wannehain,1331,1344,2016
59639,639,Wargnies-le-Grand,1101,1124,2016
59640,640,Wargnies-le-Petit,780,791,2016
59641,641,Warhem,2022,2059,2016
59642,642,Warlaing,594,607,2016
59643,643,Warneton,234,239,2016
59645,645,Wasnes-au-Bac,587,591,2016
59646,646,Wasquehal,20836,21062,2016
59647,647,Watten,2577,2599,2016
59648,648,Wattignies,15531,15735,2016
59649,649,Wattignies-la-Victoire,241,246,2016
59650,650,Wattrelos,40836,41024,2016
59651,651,Wavrechain-sous-Denain,1616,1627,2016
59652,652,Wavrechain-sous-Faulx,424,425,2016
59653,653,Wavrin,7773,7829,2016
59654,654,Waziers,7354,7418,2016
59655,655,Wemaers-Cappel,237,241,2016
59656,656,Wervicq-Sud,5299,5349,2016
59657,657,West-Cappel,636,646,2016
59658,658,Wicres,544,551,2016
59659,659,Wignehies,2821,2839,2016
59660,660,Willems,2996,3026,2016
59661,661,Willies,131,133,2016
59662,662,Winnezeele,1300,1331,2016
59663,663,Wormhout,5705,5790,2016
59664,664,Wulverdinghe,327,335,2016
59665,665,Wylder,301,307,2016
59666,666,Zegerscappel,1536,1562,2016
59667,667,Zermezeele,238,243,2016
59668,668,Zuydcoote,1580,1640,2016
59669,669,Zuytpeene,527,536,2016
