code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59424,424,Neuf-Mesnil,1305,1311,2021
59427,427,La Neuville,620,632,2021
59425,425,Neuville-en-Avesnois,302,310,2021
59426,426,Neuville-en-Ferrain,10160,10228,2021
59428,428,Neuville-Saint-Rémy,3912,3951,2021
59429,429,Neuville-sur-Escaut,2757,2771,2021
59430,430,Neuvilly,1093,1104,2021
59431,431,Nieppe,7606,7686,2021
59432,432,Niergnies,512,519,2021
59433,433,Nieurlet,903,915,2021
59434,434,Nivelle,1379,1397,2021
59435,435,Nomain,2585,2621,2021
59436,436,Noordpeene,800,813,2021
59437,437,Noyelles-lès-Seclin,845,860,2021
59438,438,Noyelles-sur-Escaut,814,832,2021
59439,439,Noyelles-sur-Sambre,278,284,2021
59440,440,Noyelles-sur-Selle,673,684,2021
59441,441,Obies,649,655,2021
59442,442,Obrechies,273,279,2021
59443,443,Ochtezeele,375,376,2021
59444,444,Odomez,927,936,2021
59445,445,Ohain,1188,1206,2021
59446,446,Oisy,690,698,2021
59447,447,Onnaing,8719,8785,2021
59448,448,Oost-Cappel,472,477,2021
59449,449,Orchies,8455,8596,2021
59450,450,Ors,638,646,2021
59451,451,Orsinval,558,568,2021
59452,452,Ostricourt,5829,5859,2021
59453,453,Oudezeele,684,698,2021
59454,454,Oxelaëre,528,533,2021
59455,455,Paillencourt,1015,1028,2021
59456,456,Pecquencourt,6232,6498,2021
59457,457,Pérenchies,8519,8582,2021
59458,458,Péronne-en-Mélantois,1004,1026,2021
59461,461,Petit-Fayt,294,300,2021
59459,459,Petite-Forêt,5058,5097,2021
59462,462,Phalempin,4849,4899,2021
59463,463,Pitgam,976,988,2021
59464,464,Poix-du-Nord,2185,2198,2021
59465,465,Pommereuil,792,795,2021
59466,466,Pont-à-Marcq,2883,2971,2021
59467,467,Pont-sur-Sambre,2410,2437,2021
59468,468,Potelle,441,446,2021
59469,469,Pradelles,410,420,2021
59470,470,Prémesques,2060,2091,2021
59471,471,Préseau,2065,2086,2021
59472,472,Preux-au-Bois,838,846,2021
59473,473,Preux-au-Sart,304,309,2021
59474,474,Prisches,1043,1063,2021
59475,475,Prouvy,2173,2192,2021
59476,476,Proville,3128,3182,2021
59477,477,Provin,4469,4512,2021
59478,478,Quaëdypre,1121,1147,2021
59479,479,Quarouble,3131,3159,2021
59480,480,Quérénaing,861,871,2021
59481,481,Le Quesnoy,4852,4970,2021
59482,482,Quesnoy-sur-Deûle,6920,6979,2021
59483,483,Quiévelon,137,139,2021
59484,484,Quiévrechain,6208,6251,2021
59485,485,Quiévy,1801,1821,2021
59486,486,Râches,2660,2702,2021
59487,487,Radinghem-en-Weppes,1393,1413,2021
59488,488,Raillencourt-Sainte-Olle,2128,2167,2021
59489,489,Raimbeaucourt,4015,4070,2021
59490,490,Rainsars,188,189,2021
59491,491,Raismes,12055,12108,2021
59492,492,Ramillies,596,603,2021
59493,493,Ramousies,227,228,2021
59494,494,Raucourt-au-Bois,154,155,2021
59495,495,Recquignies,2420,2436,2021
59496,496,Rejet-de-Beaulieu,232,234,2021
59497,497,Renescure,2128,2157,2021
59498,498,Reumont,343,353,2021
59499,499,Rexpoëde,1992,2022,2021
59500,500,Ribécourt-la-Tour,376,381,2021
59501,501,Rieulay,1243,1268,2021
59502,502,Rieux-en-Cambrésis,1438,1448,2021
59503,503,Robersart,204,206,2021
59505,505,Rombies-et-Marchipont,750,757,2021
59506,506,Romeries,476,483,2021
59507,507,Ronchin,19437,19573,2021
59508,508,Roncq,13784,13897,2021
59509,509,Roost-Warendin,5976,6027,2021
59511,511,Rosult,1973,2008,2021
59512,512,Roubaix,98892,99314,2021
59513,513,Roucourt,457,463,2021
59514,514,Rousies,4043,4095,2021
59515,515,Rouvignies,657,663,2021
59516,516,Rubrouck,919,941,2021
59517,517,Les Rues-des-Vignes,748,762,2021
59518,518,Ruesnes,455,461,2021
59519,519,Rumegies,1740,1773,2021
59520,520,Rumilly-en-Cambrésis,1429,1455,2021
59504,504,Rœulx,3779,3796,2021
59521,521,Sailly-lez-Cambrai,422,430,2021
59522,522,Sailly-lez-Lannoy,1949,1988,2021
59523,523,Sainghin-en-Mélantois,2848,2886,2021
59524,524,Sainghin-en-Weppes,5641,5693,2021
59525,525,Sains-du-Nord,2779,2805,2021
59526,526,Saint-Amand-les-Eaux,15980,16160,2021
59527,527,Saint-André-lez-Lille,12942,13053,2021
59528,528,Saint-Aubert,1561,1578,2021
59529,529,Saint-Aubin,347,355,2021
59530,530,Saint-Aybert,332,333,2021
59531,531,Saint-Benin,339,344,2021
59532,532,Saint-Georges-sur-l'Aa,296,299,2021
59533,533,Saint-Hilaire-lez-Cambrai,1555,1572,2021
59534,534,Saint-Hilaire-sur-Helpe,800,823,2021
59535,535,Saint-Jans-Cappel,1642,1689,2021
59537,537,Saint-Martin-sur-Écaillon,500,509,2021
59538,538,Saint-Momelin,418,429,2021
59539,539,Saint-Pierre-Brouck,984,1000,2021
59541,541,Saint-Python,999,1007,2021
59542,542,Saint-Remy-Chaussée,486,494,2021
59543,543,Saint-Remy-du-Nord,1070,1081,2021
59544,544,Saint-Saulve,11117,11268,2021
59545,545,Saint-Souplet,1203,1228,2021
59546,546,Saint-Sylvestre-Cappel,1154,1184,2021
59547,547,Saint-Vaast-en-Cambrésis,860,868,2021
59548,548,Saint-Waast,658,668,2021
59536,536,Sainte-Marie-Cappel,857,882,2021
59549,549,Salesches,329,332,2021
59550,550,Salomé,3051,3083,2021
59551,551,Saméon,1738,1762,2021
59552,552,Sancourt,194,200,2021
59553,553,Santes,5660,5720,2021
59554,554,Sars-et-Rosières,617,632,2021
59555,555,Sars-Poteries,1420,1434,2021
59556,556,Sassegnies,260,263,2021
59557,557,Saultain,2553,2584,2021
59558,558,Saulzoir,1679,1697,2021
59559,559,Sebourg,1977,2019,2021
59560,560,Seclin,12834,12928,2021
59562,562,Sémeries,533,540,2021
59563,563,Semousies,232,238,2021
59564,564,La Sentinelle,3143,3159,2021
59565,565,Sepmeries,649,660,2021
59566,566,Sequedin,4762,4800,2021
59567,567,Séranvillers-Forenville,415,421,2021
59568,568,Sercus,484,492,2021
59569,569,Sin-le-Noble,15603,15705,2021
59570,570,Socx,890,908,2021
59571,571,Solesmes,4249,4351,2021
59572,572,Solre-le-Château,1776,1796,2021
59573,573,Solrinnes,143,146,2021
59574,574,Somain,11790,11881,2021
59575,575,Sommaing,398,402,2021
59576,576,Spycker,1752,1788,2021
59577,577,Staple,693,697,2021
59578,578,Steenbecque,1650,1679,2021
59579,579,Steene,1365,1390,2021
59580,580,Steenvoorde,4324,4394,2021
59581,581,Steenwerck,3540,3596,2021
59582,582,Strazeele,946,968,2021
59583,583,Taisnières-en-Thiérache,476,480,2021
59584,584,Taisnières-sur-Hon,962,974,2021
59585,585,Templemars,3635,3671,2021
59586,586,Templeuve-en-Pévèle,6705,6803,2021
59587,587,Terdeghem,518,530,2021
59588,588,Téteghem-Coudekerque-Village,8384,8608,2021
59589,589,Thiant,3011,3036,2021
59590,590,Thiennes,916,931,2021
59591,591,Thivencelle,824,830,2021
59592,592,Thumeries,4029,4078,2021
59593,593,Thun-l'Évêque,767,777,2021
59594,594,Thun-Saint-Amand,1110,1123,2021
59595,595,Thun-Saint-Martin,541,554,2021
59597,597,Tilloy-lez-Cambrai,696,719,2021
59596,596,Tilloy-lez-Marchiennes,528,549,2021
59598,598,Toufflers,3910,3945,2021
59599,599,Tourcoing,99011,99679,2021
59600,600,Tourmignies,947,963,2021
59601,601,Trélon,2679,2746,2021
